2023.06.25 1:59:28,350;-68;56;-54
2023.06.25 1:59:28,600;-64;57;-51
2023.06.25 1:59:28,850;-51;56;-46
2023.06.25 1:59:29,100;-60;48;-48
2023.06.25 1:59:29,350;-64;56;-52
2023.06.25 1:59:29,600;-65;56;-43
2023.06.25 1:59:29,850;-64;54;-49
2023.06.25 1:59:30,100;-65;51;-51
2023.06.25 1:59:30,350;-59;56;-41
2023.06.25 1:59:30,600;-60;54;-44
2023.06.25 1:59:30,850;-67;60;-48
2023.06.25 1:59:31,100;-68;48;-54
2023.06.25 1:59:31,350;-72;65;-49
2023.06.25 1:59:31,600;-67;54;-49
2023.06.25 1:59:31,930;-65;54;-51
2023.06.25 1:59:32,180;-62;54;-49
2023.06.25 1:59:32,430;-67;54;-49
2023.06.25 1:59:32,680;-62;57;-51
2023.06.25 1:59:32,930;-54;59;-43
2023.06.25 1:59:33,180;-52;51;-43
2023.06.25 1:59:33,430;-52;60;-51
2023.06.25 1:59:33,680;-57;59;-49
2023.06.25 1:59:33,930;-59;62;-54
2023.06.25 1:59:34,180;-59;65;-49
2023.06.25 1:59:34,430;-57;57;-48
2023.06.25 1:59:34,680;-57;65;-54
2023.06.25 1:59:34,930;-56;57;-48
2023.06.25 1:59:35,180;-60;62;-54
2023.06.25 1:59:35,430;-56;54;-52
2023.06.25 1:59:35,680;-60;62;-57
2023.06.25 1:59:35,930;-57;56;-49
2023.06.25 1:59:36,180;-56;62;-56
2023.06.25 1:59:36,430;-62;57;-52
2023.06.25 1:59:36,680;-60;60;-49
2023.06.25 1:59:36,930;-54;52;-56
2023.06.25 1:59:37,180;-67;57;-59
2023.06.25 1:59:37,430;-56;51;-49
2023.06.25 1:59:37,680;-60;57;-57
2023.06.25 1:59:37,930;-65;52;-60
2023.06.25 1:59:38,180;-68;57;-64
2023.06.25 1:59:38,430;-65;43;-49
2023.06.25 1:59:38,680;-60;40;-44
2023.06.25 1:59:38,950;-72;49;-51
2023.06.25 1:59:39,200;-60;51;-52
2023.06.25 1:59:39,450;-68;59;-51
2023.06.25 1:59:39,700;-65;57;-44
2023.06.25 1:59:39,950;-62;57;-54
2023.06.25 1:59:40,200;-68;56;-49
2023.06.25 1:59:40,450;-62;62;-49
2023.06.25 1:59:40,700;-65;57;-51
2023.06.25 1:59:40,950;-60;59;-49
2023.06.25 1:59:41,200;-64;60;-51
2023.06.25 1:59:41,450;-59;52;-52
2023.06.25 1:59:41,700;-59;54;-51
2023.06.25 1:59:41,950;-64;54;-57
2023.06.25 1:59:42,200;-62;44;-56
2023.06.25 1:59:42,450;-62;46;-62
2023.06.25 1:59:42,700;-67;49;-62
2023.06.25 1:59:42,950;-62;48;-70
2023.06.25 1:59:43,200;-60;51;-70
2023.06.25 1:59:43,450;-60;43;-67
2023.06.25 1:59:43,700;-60;41;-60
2023.06.25 1:59:43,950;-56;49;-70
2023.06.25 1:59:44,200;-76;38;-57
2023.06.25 1:59:44,450;-72;33;-57
2023.06.25 1:59:44,700;-83;28;-52
2023.06.25 1:59:44,950;-81;24;-52
2023.06.25 1:59:45,200;-76;17;-40
2023.06.25 1:59:45,450;-86;11;-40
2023.06.25 1:59:45,700;-83;11;-41
2023.06.25 1:59:45,950;-91;9;-46
2023.06.25 1:59:46,200;-96;8;-36
2023.06.25 1:59:46,450;-94;4;-36
2023.06.25 1:59:46,700;-92;3;-35
2023.06.25 1:59:46,950;-91;3;-41
2023.06.25 1:59:47,200;-92;6;-41
2023.06.25 1:59:47,450;-91;6;-41
2023.06.25 1:59:47,700;-94;1;-38
2023.06.25 1:59:47,950;-92;0;-40
2023.06.25 1:59:48,200;-89;-1;-33
2023.06.25 1:59:48,450;-88;-1;-35
2023.06.25 1:59:48,700;-97;-3;-33
2023.06.25 1:59:48,950;-94;9;-32
2023.06.25 1:59:49,200;-91;9;-30
2023.06.25 1:59:49,450;-99;16;-41
2023.06.25 1:59:49,700;-84;12;-41
2023.06.25 1:59:49,950;-92;20;-40
2023.06.25 1:59:50,200;-84;22;-43
2023.06.25 1:59:50,450;-80;14;-35
2023.06.25 1:59:50,700;-84;30;-41
2023.06.25 1:59:50,950;-83;56;-52
2023.06.25 1:59:51,200;-76;51;-48
2023.06.25 1:59:51,450;-62;56;-54
2023.06.25 1:59:51,700;-60;56;-49
2023.06.25 1:59:51,950;-64;52;-59
2023.06.25 1:59:52,200;-68;44;-64
2023.06.25 1:59:52,450;-54;41;-49
