2023.06.25 14:0:14,590;57;12;73
2023.06.25 14:0:14,840;54;20;75
2023.06.25 14:0:15,90;48;19;76
2023.06.25 14:0:15,340;65;25;72
2023.06.25 14:0:15,590;51;-1;88
2023.06.25 14:0:15,840;64;16;73
2023.06.25 14:0:16,90;59;-1;75
2023.06.25 14:0:16,340;64;0;73
2023.06.25 14:0:16,590;60;-11;73
2023.06.25 14:0:16,840;64;-11;78
2023.06.25 14:0:17,90;67;-6;72
2023.06.25 14:0:17,340;60;-9;70
2023.06.25 14:0:17,590;65;-9;72
2023.06.25 14:0:17,840;64;-4;76
2023.06.25 14:0:18,90;57;-11;70
2023.06.25 14:0:18,340;60;-14;73
2023.06.25 14:0:18,590;57;-8;72
2023.06.25 14:0:18,840;68;-8;72
2023.06.25 14:0:19,90;64;-12;73
2023.06.25 14:0:19,340;60;-14;70
2023.06.25 14:0:19,590;65;-12;72
2023.06.25 14:0:19,840;67;-17;70
2023.06.25 14:0:20,90;65;-19;68
2023.06.25 14:0:20,340;67;-14;64
2023.06.25 14:0:20,590;67;-9;68
2023.06.25 14:0:20,840;64;-16;65
2023.06.25 14:0:21,90;67;-14;67
2023.06.25 14:0:21,340;68;-9;70
2023.06.25 14:0:21,590;64;-14;70
2023.06.25 14:0:21,840;68;-4;70
2023.06.25 14:0:22,90;65;1;70
2023.06.25 14:0:22,340;68;1;68
2023.06.25 14:0:22,590;67;11;70
2023.06.25 14:0:22,840;62;9;68
2023.06.25 14:0:23,90;64;11;72
2023.06.25 14:0:23,340;67;9;68
2023.06.25 14:0:23,590;62;12;65
2023.06.25 14:0:33,170;67;28;65
2023.06.25 14:0:33,420;64;30;60
2023.06.25 14:0:33,670;59;30;67
2023.06.25 14:0:33,920;64;32;65
2023.06.25 14:0:34,170;62;30;67
2023.06.25 14:0:34,440;59;24;65
2023.06.25 14:0:34,690;62;20;68
2023.06.25 14:0:34,940;62;22;70
2023.06.25 14:0:35,190;67;28;68
2023.06.25 14:0:35,440;60;17;65
2023.06.25 14:0:35,690;59;8;67
2023.06.25 14:0:35,940;72;16;64
2023.06.25 14:0:36,190;68;16;70
2023.06.25 14:0:36,440;80;19;70
2023.06.25 14:0:36,690;75;6;60
2023.06.25 14:0:36,940;76;14;62
2023.06.25 14:0:37,190;54;4;35
2023.06.25 14:0:37,440;99;-9;36
2023.06.25 14:0:37,690;56;-25;44
2023.06.25 14:0:37,940;78;-24;16
2023.06.25 14:0:38,190;88;-48;3
2023.06.25 14:0:38,440;78;-40;17
2023.06.25 14:0:38,690;80;-35;28
2023.06.25 14:0:38,940;107;-43;-4
2023.06.25 14:0:39,190;96;-32;16
2023.06.25 14:0:39,440;75;-38;27
2023.06.25 14:0:39,690;84;-81;3
2023.06.25 14:0:39,940;80;-51;22
2023.06.25 14:0:40,190;70;-41;28
2023.06.25 14:0:40,440;83;-67;-24
2023.06.25 14:0:40,690;65;-57;6
2023.06.25 14:0:40,940;72;-48;22
2023.06.25 14:0:41,190;72;-38;27
2023.06.25 14:0:41,440;124;-51;0
2023.06.25 14:0:41,690;100;-38;14
2023.06.25 14:0:41,940;80;-36;24
2023.06.25 14:0:42,190;126;-44;-4
2023.06.25 14:0:42,440;92;-40;22
2023.06.25 14:0:42,690;76;-43;28
2023.06.25 14:0:42,940;118;-44;9
2023.06.25 14:0:43,190;88;-52;12
2023.06.25 14:0:43,440;70;-52;19
2023.06.25 14:0:43,690;62;-33;8
2023.06.25 14:0:43,940;92;-48;-3
2023.06.25 14:0:44,190;89;-35;30
2023.06.25 14:0:44,440;89;-32;33
2023.06.25 14:0:44,690;72;-62;-19
2023.06.25 14:0:44,940;70;-43;9
2023.06.25 14:0:45,190;78;-32;30
2023.06.25 14:0:45,440;80;-4;51
2023.06.25 14:0:45,690;81;0;51
2023.06.25 14:0:45,940;83;9;51
2023.06.25 14:0:46,190;76;17;49
2023.06.25 14:0:46,440;88;36;57
2023.06.25 14:0:46,700;76;14;60
2023.06.25 14:0:46,950;75;24;59
2023.06.25 14:0:47,200;70;28;52
2023.06.25 14:0:47,450;75;27;56
2023.06.25 14:0:47,700;70;25;56
2023.06.25 14:0:47,950;75;24;54
2023.06.25 14:0:48,200;72;33;51
2023.06.25 14:0:48,450;84;44;30
2023.06.25 14:0:48,700;92;35;28
2023.06.25 14:0:48,950;81;20;16
2023.06.25 14:0:49,200;84;17;19
2023.06.25 14:0:49,450;94;14;19
2023.06.25 14:0:49,700;97;11;6
2023.06.25 14:0:49,950;97;8;4
2023.06.25 14:0:50,200;96;8;1
2023.06.25 14:0:50,450;92;3;3
2023.06.25 14:0:50,700;96;8;1
2023.06.25 14:0:50,950;97;8;3
2023.06.25 14:0:51,200;96;4;4
2023.06.25 14:0:51,450;102;1;4
2023.06.25 14:1:1,30;92;28;-4
2023.06.25 14:1:1,280;92;24;-3
2023.06.25 14:1:1,530;97;22;-11
2023.06.25 14:1:1,780;94;16;-6
2023.06.25 14:1:2,30;89;6;-9
2023.06.25 14:1:2,280;96;9;-9
2023.06.25 14:1:2,550;97;17;-14
2023.06.25 14:1:2,800;94;6;-12
